uname,mentions,guess_type,link
liangxia_daitou,4412,payment_likely,https://t.me/liangxia_daitou
upappio,3960,unknown,https://t.me/upappio
qunfankeji,3333,group_likely,https://t.me/qunfankeji
rabbit_daitou,3009,payment_likely,https://t.me/rabbit_daitou
antushenggongqun2,1470,group_likely,https://t.me/antushenggongqun2
rabbit_daitou02,1403,payment_likely,https://t.me/rabbit_daitou02
zmkj0,1314,unknown,https://t.me/zmkj0
rupeerush_gf,1064,group_likely,https://t.me/rupeerush_gf
uc_wxx,829,unknown,https://t.me/uc_wxx
aixiracy,829,unknown,https://t.me/aixiracy
payxpayment01,827,payment_likely,https://t.me/payxpayment01
syc6636,746,unknown,https://t.me/syc6636
ht80082008,737,unknown,https://t.me/ht80082008
kuli799,574,unknown,https://t.me/kuli799
fosen888,574,unknown,https://t.me/fosen888
ttttboomgg,561,ad_channel,https://t.me/ttttboomgg
jxtl0702,330,unknown,https://t.me/jxtl0702
rupeerush_yd,278,group_likely,https://t.me/rupeerush_yd
hsqq8888,187,unknown,https://t.me/hsqq8888
dbbdv77,165,unknown,https://t.me/dbbdv77
adlinkzz,154,ad_channel,https://t.me/adlinkzz
xchwpay8,127,payment_likely,https://t.me/xchwpay8
baobi66688,126,ad_channel,https://t.me/baobi66688
funpay_0,123,payment_likely,https://t.me/funpay_0
jxtl7777,110,unknown,https://t.me/jxtl7777
jxtl8888,110,unknown,https://t.me/jxtl8888
ttt5523,103,unknown,https://t.me/ttt5523
kjt_fi,99,unknown,https://t.me/kjt_fi
titics24,92,unknown,https://t.me/titics24
wmzf880,92,unknown,https://t.me/wmzf880
yofisms,63,unknown,https://t.me/yofisms
ttpay666666,62,payment_likely,https://t.me/ttpay666666
yolopay,62,payment_likely,https://t.me/yolopay
sosozip,62,channel_likely,https://t.me/sosozip
xingqiu888,59,unknown,https://t.me/xingqiu888
gopayglobal,56,payment_likely,https://t.me/gopayglobal
chgq11,54,unknown,https://t.me/chgq11
hanghaijia6688,49,unknown,https://t.me/hanghaijia6688
hjjiaxq,49,unknown,https://t.me/hjjiaxq
hhjiagy,49,unknown,https://t.me/hhjiagy
fc014,41,unknown,https://t.me/fc014
xiaosan00188,33,unknown,https://t.me/xiaosan00188
pite88686,31,unknown,https://t.me/pite88686
mgskyads_group,29,group_likely,https://t.me/mgskyads_group
tgjobgz,28,unknown,https://t.me/tgjobgz
xpropay1001,27,payment_likely,https://t.me/xpropay1001
whatsapp1331,26,unknown,https://t.me/whatsapp1331
jiusuo88888,26,unknown,https://t.me/jiusuo88888
date66666,25,unknown,https://t.me/date66666
hqzf51888,24,unknown,https://t.me/hqzf51888
daziben888,24,unknown,https://t.me/daziben888
wen10288,22,unknown,https://t.me/wen10288
payxpayment,21,payment_likely,https://t.me/payxpayment
hqtgshop,18,group_likely,https://t.me/hqtgshop
tspay8988,17,payment_likely,https://t.me/tspay8988
whatsapp19999,16,unknown,https://t.me/whatsapp19999
disng5,13,unknown,https://t.me/disng5
thshxtws,12,group_likely,https://t.me/thshxtws
dslm001,12,unknown,https://t.me/dslm001
haihua9,12,unknown,https://t.me/haihua9
aadsthinker,12,ad_channel,https://t.me/aadsthinker
youqing123456,12,unknown,https://t.me/youqing123456
yuantoushujuu,12,group_likely,https://t.me/yuantoushujuu
pepe_ssss,11,unknown,https://t.me/pepe_ssss
hddbshequn,10,group_likely,https://t.me/hddbshequn
palameilab,10,unknown,https://t.me/palameilab
