chat_id,title,type,username,public_join_link,msgs,scraped_by
-1001779305048,Huidu.io灰度出海遊戲項目交流社區【No.com冠名】,supergroup,huidu_SQ,https://t.me/huidu_SQ,903763,"81,82"
-1001742766507,帕拉梅拉π-海外项目资源交流群,supergroup,palameila2,https://t.me/palameila2,111751,"81,82"
-1001072751287,青木堂&资源共享交流群【禁硬广】,supergroup,QingMuTang_AMumu,https://t.me/QingMuTang_AMumu,69600,82
-1001445315451,航海家--出海外流量联盟项目交流群,supergroup,hhj6666,https://t.me/hhj6666,29987,82
-1003810291002,粉圈大家庭（曝光/姿势交流群）,supergroup,xtsyu,https://t.me/xtsyu,26564,82
-1002705598715,蚂蚁搬家策略交流群2026,supergroup,PhnomPenh202508,https://t.me/PhnomPenh202508,21200,82
-1002973195926,榴莲出海π-海外资源交流群,supergroup,liuliuuu888,https://t.me/liuliuuu888,9101,82
-1001634056308,TG群组导航/群组搜索/TG机器人,supergroup,chn_sousou,https://t.me/chn_sousou,8575,82
-1001605596154,越南代收/越南代付/越南卡接/越南华人,supergroup,Svip_YueNan,https://t.me/Svip_YueNan,7286,81
-1001534384054,阿波罗出海交流群,supergroup,abo666888111111,https://t.me/abo666888111111,2292,81
-1001447308603,KK 出海项目担保群,supergroup,kkch6,https://t.me/kkch6,1656,81
-1001689813524,众汇出海🔥海外资源交流群,supergroup,zhdb_A,https://t.me/zhdb_A,1354,81
-1002058530713,中文索引|搜索引擎|搜群神器|搜索大全,supergroup,teletop886,https://t.me/teletop886,908,81
-1001789966703,安徒生印度资源群,supergroup,ssws0312155,https://t.me/ssws0312155,849,81
-1001616422477,🇨🇳TG搜群神器/中文频道/导航,supergroup,AGTele14,https://t.me/AGTele14,740,81
-1001861477054,舵手联盟出海,supergroup,dslm888,https://t.me/dslm888,555,81
-1002242118825,婉儿出海-资源共享交流社群,supergroup,waner7777777,https://t.me/waner7777777,532,81
-1001549379428,华人在外聊天大群🚀🚀,supergroup,baxuare12,https://t.me/baxuare12,473,81
-1002143996742,中文搜索♻️官方索引🌍全网资源,supergroup,zhowenso,https://t.me/zhowenso,445,81
-1001910796144,🇨🇳中文导航群🚀超级AI导航群,supergroup,SuperAi3,https://t.me/SuperAi3,410,81
-1002782551836,全球导航/搜索引擎/全国搜索,supergroup,robososuo,https://t.me/robososuo,287,81
-1002113476903,金手指出海 tg类公群G808 待认中,supergroup,jinshouzhizongqun1,https://t.me/jinshouzhizongqun1,186,81
-1003211884360,🌺中文导航✨搜索大全💘谷歌搜索🍌极速搜索,supergroup,xiaosou182,https://t.me/xiaosou182,152,81
-1003205618153,闽南（泉州厦门福州）狼族文化💯,supergroup,fj158888,https://t.me/fj158888,131,81
-1001370968188,万汇出海资源群2,supergroup,whch2,https://t.me/whch2,124,81
-1002120406772,泰国曼谷交流群,supergroup,GT11168,https://t.me/GT11168,95,81
-1002085778365,菠萝全球搜索推广大群,supergroup,boluo1254088,https://t.me/boluo1254088,59,81
-1002076475770,全球支付/全球钱包/全球短信/海外投流/海外代投/FB代投/全球ai电销/印度支付/印尼支付/巴西支付/全球交流群🌍,supergroup,niuge66,https://t.me/niuge66,51,81
-1002181544406,NEXX全球数据（3.0）周边商品分类,supergroup,NEXX888,https://t.me/NEXX888,50,81
-1002552148000,公群H小组3030-供押319999U英雄会pc28网盘超级满水满倍(无视13/14)公群（月结）,supergroup,,,397931,82
-1001379624437,💙海华会员SVIP【万金友群】,supergroup,,,104620,82
-1001887870536,宝正精出海•资源项目海外支付交流群,supergroup,,,56653,82
-1002143601905,出海联盟@CHLM-会员7群,supergroup,,,48450,82
-1001525295593,出海联盟@CHLM-会员9群,supergroup,,,38354,82
-1002555128502,云顶出海交流群（供需免费）,supergroup,,,6812,81
-1002203990630,M记出海-海外资源项目支付交流群（禁广）,supergroup,,,5876,82
-4043946971,印度粉,group,,,3443,82
-1001577947673,TG极搜—中文搜索社区,supergroup,,,3335,82
-1001545668920,七喜联盟🥇出海项目🥇资源群,supergroup,,,2961,81
-1001277034359,同心出海-海外资源供需项目交流群,supergroup,,,2117,81
-1001546637152,出海联盟 @CHLM-交流二群,supergroup,,,1629,82
-1001790884528,帕拉梅拉π-高端海外项目社群【谨防假冒】,supergroup,,,1311,81
-1001411325303,头铁出海 项目资源交流6群,supergroup,,,966,81
-4540245323,安溪铁观音🔥 和 彦祖,group,,,936,82
-972824052,haha 代理,group,,,867,82
-1001448706395,出海联盟 @CHLM-交流大群,supergroup,,,789,81
-1001531074786,TG中文✈️搜索神器全能王🔥,supergroup,,,722,82
-1001790950107,安徒生出海资源交流群,supergroup,,,663,81
-1001944554889,梅赛德斯-出海盘总交流大群,supergroup,,,646,81
-1001903683719,柯基POOL（corgi coin）,supergroup,,,398,81
-1001999251803,【福建商会】@FujianSH 海外项目交流群,supergroup,,,316,81
-940948014,爆投手,group,,,256,82
-4020042058,韩国短信对接群1228,group,,,239,82
-4053278590,源头国际语音线路-Rain，Wisdom017以及出海专业户,group,,,149,82
-1001638900735,关键词监听群,supergroup,,,50,81
-4120939546,星云&CSHG LITIMED+ 印度语音,group,,,50,81
-4063466719,星云有量&CSHG LITIMED+,group,,,50,81
-4056839935,印尼153,group,,,50,81
-4051316782,印尼渠道,group,,,50,81
-4043643580,星云沟通,group,,,50,81
-4018642114,星云日常,group,,,50,81
-4112658221,DC018-FB-3%-专精印度兼职料子-@zjbxbc27-@xingyunliuhao-@bclz945,group,,,38,81
-4181082629,巴西BC料代投,group,,,23,81
-4199929634,印度股民,group,,,23,81
-4046258445,男同胞 女的不要,group,,,13,81
-1002010676731,出海公群No.3-薯条海外一手渗透数据,supergroup,,,8,82
-4134615866,巴西BC代投 DJ,group,,,5,81
-4105420365,印度棋牌IOS,group,,,3,81
-4108273311,巴西BC代投 Robin,group,,,2,81
-4106345208,巴西游戏代投,group,,,2,81
